id,track_id,desc,created_at,updated_at
ae0eca04-23b8-4915-bafa-54489715cf00,502c9fc4-8cc8-4c5c-8633-09b3ae34b93a,with Mike Carter (Indobox) on guitar,2024-08-03 10:13:57.246298,2024-08-03 10:13:57.246298
03b8355e-5e99-450f-a318-748f438ecbfe,76bbbef2-d976-414b-80aa-7edfe589c4e6,with Chris Michetti (RAQ) on guitar,2024-08-03 10:14:17.858531,2024-08-03 10:14:17.858531
bc813d17-49ff-4591-83a5-76115563bfb7,76bbbef2-d976-414b-80aa-7edfe589c4e6,with Tom Hamilton (Brothers Past) on guitar,2024-08-03 10:14:17.874080,2024-08-03 10:14:17.874080
80a041e3-8661-4170-9824-092bf49b4de8,76bbbef2-d976-414b-80aa-7edfe589c4e6,with Mike Carter (Indobox) on guitar,2024-08-03 10:14:17.900466,2024-08-03 10:14:17.900466
83b75ee0-8e4b-4523-98f5-90e7fe0a98c3,6e805b6f-33c7-48c7-bd2d-d5e03c15560f,with Mike Carter (Indobox) on guitar,2024-08-03 10:14:43.014188,2024-08-03 10:14:43.014188
7cc75d50-389a-44c2-b6c6-b5201c0664a7,d483fbb8-f4c8-451f-bb4d-b616d8adf647,with ‘Save The Robots’ fake-out,2024-08-03 10:24:46.129465,2024-08-03 10:24:46.129465
f5afeabe-8cac-48af-b29c-b5a8210c5f83,d483fbb8-f4c8-451f-bb4d-b616d8adf647,Perfume version,2024-08-03 10:24:46.163130,2024-08-03 10:24:46.163130
fc561dc8-baf9-41db-abb9-7d0be20edaed,96854d51-92fe-4852-940c-4953e0bce502,unfinished,2024-08-03 10:33:08.810630,2024-08-03 10:33:08.810630
3176231f-0d39-41f1-9eb7-0e79259db563,96854d51-92fe-4852-940c-4953e0bce502,with ‘Spy’ + ‘Bernstein & Chasnoff’ teases,2024-08-03 10:33:08.831330,2024-08-03 10:33:08.831330
cea6dd93-92be-462b-b730-82d60a80681e,2480974d-9410-4196-8827-e4c5e934446b,with ‘Cissy Strut’ (The Meters) intro jam + teases,2024-08-03 10:35:18.467350,2024-08-03 10:35:18.467350
47762e00-b406-4254-909d-06aab62d1e34,26e82678-bff8-4e2a-9ef3-0ed270f5c88c,inverted,2024-08-03 10:54:14.788149,2024-08-03 10:54:14.788149
98f4aa9b-a5da-4e98-93dc-edddfb9dce77,752390b5-3d25-4860-b34f-106fa43d3e91,LTP 5/27/11 (146 shows); reworked ,2024-08-03 10:54:58.254832,2024-08-03 10:54:58.254832
bf949829-991e-4010-8531-d783d1eb3d21,3aa680b2-b161-4a94-953d-8f7ff79adb67,inverted (middle),2024-08-03 10:59:03.338927,2024-08-03 10:59:03.338927
aea6bf84-c69d-4686-8d0b-3e31432161fa,3aa680b2-b161-4a94-953d-8f7ff79adb67,1st time inverted ,2024-08-03 10:59:03.368026,2024-08-03 10:59:03.368026
7d9ddeba-d04e-4793-8642-489f4a3d97cb,f1b97a41-4295-453a-ada3-f9bc01c32a59,inverted (peak>intro>beginning),2024-08-03 11:00:04.432041,2024-08-03 11:00:04.432041
fac28d18-39bb-4a1d-b088-f75d4d9f0387,f1b97a41-4295-453a-ada3-f9bc01c32a59,1st time inverted ,2024-08-03 11:00:04.459607,2024-08-03 11:00:04.459607
80e2a399-2269-4907-9658-73e19e8ebb29,4c40254d-0459-4dcb-8605-6024c37d8ed2,inverted (middle; end>beginning),2024-08-03 11:06:45.365854,2024-08-03 11:06:45.365854
5843f95a-cc25-4aa1-ba27-8e37f740156e,9040aaf7-fcc0-40cb-befd-d63c231bb82e,inverted (middle; end>beginning),2024-08-03 11:06:54.870444,2024-08-03 11:06:54.870444
264f5b29-c6ba-4dd3-b4b1-026e623e92e6,60f85c91-0aed-4513-b964-206bcfd9bea1,with ‘Cissy Strut’ + ‘The Great Abyss’ teases,2024-08-03 11:10:07.971000,2024-08-03 11:10:07.971000
8c9514ca-29df-41c5-abae-7f6e9d28bc70,9d582ba5-2995-45b5-b715-ea0c05030847,inverted,2024-08-03 11:10:43.188379,2024-08-03 11:10:43.188379
dbdf9486-2638-40dc-877a-cfad670ec10d,310d8513-99ce-4007-96d8-25bd011589ae,unfinished,2024-08-03 11:12:11.699725,2024-08-03 11:12:11.699725
d76a24b7-57d4-481e-82d5-25aea2c62226,4f1caa6b-ab3d-4697-9975-84b5572f3b8f,with Simon Posford (Hallucinogen) on keys,2024-08-03 11:15:12.216825,2024-08-03 11:15:12.216825
a03f4e61-83b2-48ce-82ba-c54ba636e1ef,4f1caa6b-ab3d-4697-9975-84b5572f3b8f,LTP 12/30/2006 (490 shows),2024-08-03 11:15:12.244510,2024-08-03 11:15:12.244510
f425d6b7-4cf6-4d32-b393-5a1597f336ed,26640cf9-27a0-40c9-a80a-5c28f301289a,with extended intro jam ,2024-08-03 11:20:38.939703,2024-08-03 11:20:38.939703
a767e097-213f-444f-8e6a-95299df176c9,8e1754c8-f489-4773-b564-9e167a215c7b,inverted,2024-08-03 11:21:46.100124,2024-08-03 11:21:46.100124
83d09246-f629-4c7b-bb2a-e4bbdc05159e,8e1754c8-f489-4773-b564-9e167a215c7b,with Scotty Zwang (Dopapod) on drums ,2024-08-03 11:21:46.140712,2024-08-03 11:21:46.140712
12c1953e-dd30-4aaf-8809-97a0b523eb46,840e7883-e367-4cdc-a633-6c7dabcedac0,ending only,2024-08-03 11:23:12.139150,2024-08-03 11:23:12.139150
543fb997-fab7-43a4-86bb-ea6a2b02af68,5ffb3d33-7926-40ee-9a20-5b1480339142,inverted (middle) ,2024-08-03 11:25:02.209117,2024-08-03 11:25:02.209117
88b1eed2-e1d9-4d56-82c8-505eaf695c10,883945eb-7a9d-4508-9572-a31a500ffca3,inverted (end>beginning),2024-08-03 11:25:20.069231,2024-08-03 11:25:20.069231
7d94c0a5-a28d-41ff-94bf-c9f0b4bb6115,202fa6aa-047c-4d70-bcbb-5814b708050d,ending only ,2024-08-03 11:26:02.361297,2024-08-03 11:26:02.361297
4ae89440-b44f-4b9a-90af-e4c8754cb5f3,8a3180af-8e99-4373-9c7a-57d1c0d377cd,with ‘I-Man’ ending teases,2024-08-03 11:28:43.271007,2024-08-03 11:28:43.271007
91546fc4-a410-4659-9aa6-aed37fd4e173,69dc6dc4-f85a-4f5d-b956-1b01f2c9992d,ending only ,2024-08-03 11:31:09.247688,2024-08-03 11:31:09.247688
2369775c-31e8-4632-8293-102e99148c5d,1f405fab-52f5-4301-88fd-717245e4cdc7,with ‘Piano Concerto #21 Andante’ (Mozart) teases,2024-08-03 11:38:02.204049,2024-08-03 11:38:02.204049
24e1dd9e-59b2-4d71-ac72-db5667d7f96d,324a5384-b4bf-4293-83c8-e0e7c9df11ae,ending only ,2024-08-03 11:38:50.408592,2024-08-03 11:38:50.408592
29e2bd5c-0e65-46e5-9a5a-b50101ea2847,45ecc982-fdf8-4758-b1fe-7bb6b8d4d42d,with 'Run Like Hell' (Pink Floyd) tease,2024-08-11 12:01:53.374152,2024-08-11 12:01:53.374152
98137ace-5eb2-428b-b32b-ac3fdbd0d264,57a2e13e-88d8-40d1-bbab-43b45d5182a5,with 'The Thieving Magpie' (Rossini) fakeout,2024-08-11 12:02:26.597134,2024-08-11 12:02:26.597134
